,train,validation,test
Accuracy,0.8975529411764706,0.8989333333333334,0.8215
Precision,0.8972163676587775,0.8991076865829742,0.8204152347800998
Recall,0.8975529411764706,0.8989333333333334,0.8215
F1-Score,0.8968287145748852,0.8984316298568246,0.8197784477231831
