,CNN_train,CNN_test,MLP_train,MLP_test
Accuracy,0.9985064494229464,0.9871373018247084,0.9639511201629328,0.8875261740951241
Precision,0.9985058857682761,0.9872139076520725,0.9635061352736176,0.8893086438164639
Recall,0.9985064494229464,0.9871373018247084,0.9639511201629328,0.8875261740951241
F1-Score,0.9985060495300886,0.9871653788682239,0.9634949072572246,0.8883272198307175
