,train,validation,test
Accuracy,0.5496,0.5552,0.5167
Precision,0.5646137207160421,0.5738372901510286,0.528019345723451
Recall,0.5496,0.5552,0.5167
F1-Score,0.5425318918320313,0.5502227126360165,0.5100370385227306
